squad,comp,season,goals,shots,xg_statsbomb,elo,xg_location,xg_header,xg_buildup
Alaves,es La Liga,2019/2020,34,299,37,1679.806519,39.35152497,38.98070449,38.11360401
Alaves,es La Liga,2018/2019,39,419,37.3,1705.050903,45.44195846,43.08602723,42.13311911
Alaves,es La Liga,2017/2018,40,393,39,1712.553589,35.88366181,35.24838744,35.70108971
Amiens,fr Ligue 1,2019/2020,31,229,26.8,1503.45813,24.67117797,26.42418668,25.9805185
Amiens,fr Ligue 1,2018/2019,30,393,34.6,1531.071411,32.92368668,32.8162279,32.76551679
Amiens,fr Ligue 1,2017/2018,36,372,35.2,1468.307129,32.50966033,31.81867212,31.58625378
Angers,fr Ligue 1,2019/2020,27,367,27,1556.379883,30.10378249,28.22023763,27.24312601
Angers,fr Ligue 1,2018/2019,42,453,47.7,1547.560913,51.33878843,49.98586482,49.12340409
Angers,fr Ligue 1,2017/2018,41,467,45.6,1579.34021,45.3066498,44.28695801,43.71757513
Arsenal,eng Premier League,2019/2020,56,401,49.2,1866.540771,46.42289173,50.13394308,49.65095583
Arsenal,eng Premier League,2018/2019,69,464,57.1,1818.743286,56.03368317,62.76084864,63.80866141
Arsenal,eng Premier League,2017/2018,73,595,63.1,1845.890991,61.46477564,66.64125374,67.57844413
Aston Villa,eng Premier League,2019/2020,40,453,40.1,1612.491943,50.20719667,48.91185746,48.29322948
Atalanta,it Serie A,2019/2020,96,701,81.9,1747.316895,75.25328898,78.7487086,78.48045473
Atalanta,it Serie A,2018/2019,75,642,66.8,1727.802002,72.34424218,72.97025491,71.64134913
Atalanta,it Serie A,2017/2018,57,582,67.3,1708.897827,66.04499464,67.42862025,65.75212847
Atletico,es La Liga,2019/2020,50,437,52.6,1874.593628,55.67354546,54.81191088,55.47366664
Atletico,es La Liga,2018/2019,52,439,45.9,1929.616333,46.29581934,45.89062736,44.75083816
Atletico,es La Liga,2017/2018,57,416,47.8,1950.730225,40.24827936,42.90583988,41.49569473
Augsburg,de Bundesliga,2019/2020,45,358,42.1,1591.468628,36.87827853,38.20520077,37.78414689
Augsburg,de Bundesliga,2018/2019,50,443,43.2,1615.322388,47.17663597,46.33209207,45.18109912
Augsburg,de Bundesliga,2017/2018,41,432,45,1650.578369,45.17412366,42.76404931,42.04320543
Barcelona,es La Liga,2019/2020,84,491,66.4,1997.092163,51.39748091,55.5993338,58.10520214
Barcelona,es La Liga,2018/2019,88,552,73.5,2025.50061,58.16181517,62.84574372,65.05296722
Barcelona,es La Liga,2017/2018,96,581,78.3,2020.181763,65.62512511,74.05900664,76.54368629
Bayern,de Bundesliga,2019/2020,97,611,82.3,1944.121948,74.50764048,78.13815195,79.26671279
Bayern,de Bundesliga,2018/2019,86,620,81,1944.986572,81.62145816,82.08009443,83.01432095
Bayern,de Bundesliga,2017/2018,90,599,77.8,1997.255005,70.52740356,69.55000974,71.20786472
Benevento,it Serie A,2017/2018,32,470,39,1476.267578,41.02357613,38.20732022,37.08158114
Betis,es La Liga,2019/2020,48,461,47.3,1682.874756,49.57536702,50.6203771,50.09086398
Betis,es La Liga,2018/2019,43,440,48.8,1724.048462,45.76984685,46.64301456,47.86295841
Betis,es La Liga,2017/2018,56,412,41.1,1643.056641,39.37860387,39.7327332,40.33796415
Bilbao,es La Liga,2019/2020,40,400,38.5,1718.401978,43.63618343,42.09194789,41.2051964
Bilbao,es La Liga,2018/2019,38,368,40.2,1698.656128,47.48983164,45.28588199,45.61479497
Bilbao,es La Liga,2017/2018,39,434,45.6,1780.871704,51.31640063,48.55475216,48.33195765
Bologna,it Serie A,2019/2020,48,544,53.2,1572.674194,54.98073851,56.38677096,56.30441961
Bologna,it Serie A,2018/2019,45,495,47.3,1545.328857,50.33572655,48.92303408,48.16127864
Bologna,it Serie A,2017/2018,37,353,36.9,1547.75,34.38705614,34.83581713,35.81073452
Bordeaux,fr Ligue 1,2019/2020,40,309,29.7,1554.425781,28.24388644,27.88133923,26.57531285
Bordeaux,fr Ligue 1,2018/2019,34,431,40.2,1634.026367,39.92384595,39.65259762,39.49917638
Bordeaux,fr Ligue 1,2017/2018,52,492,52.6,1661.654175,49.12901457,46.42148738,46.95193357
Bournemouth,eng Premier League,2019/2020,38,384,42.7,1690.69397,44.58481855,45.12926338,43.19696801
Bournemouth,eng Premier League,2018/2019,55,434,53.3,1669.72229,53.44770085,51.31809411,51.00452556
Bournemouth,eng Premier League,2017/2018,45,469,42.7,1651.528809,44.25427879,46.16608969,44.87882649
Brescia,it Serie A,2019/2020,34,414,42.5,1473.02478,44.61461388,43.86352898,43.05022152
Brest,fr Ligue 1,2019/2020,32,321,30.2,1508.316284,30.06063347,30.83313927,30.71609812
Brighton,eng Premier League,2019/2020,35,456,41.2,1616.411499,49.61145799,50.73393184,48.63077024
Brighton,eng Premier League,2018/2019,35,369,34.4,1628.934448,43.1657587,39.93379927,38.35516285
Brighton,eng Premier League,2017/2018,33,383,36.3,1581.656738,42.53360498,41.41034657,39.71811746
Burnley,eng Premier League,2019/2020,41,384,43.9,1681.716187,50.74095915,49.4547175,47.65835574
Burnley,eng Premier League,2018/2019,43,360,41.9,1684.881348,49.34760017,47.6833666,46.29502684
Burnley,eng Premier League,2017/2018,35,384,34.4,1626.92627,40.40906038,35.79852,35.13839906
Caen,fr Ligue 1,2018/2019,29,338,31.1,1479.421997,32.82383165,30.88975043,30.89519412
Caen,fr Ligue 1,2017/2018,25,474,42.3,1520.493896,45.32282591,40.88899915,39.98433168
Cagliari,it Serie A,2019/2020,50,439,41.4,1532.269653,43.58751575,40.82255731,41.81739853
Cagliari,it Serie A,2018/2019,36,434,39.2,1548.857788,49.02783459,44.55049494,43.90294279
Cagliari,it Serie A,2017/2018,33,378,40,1560.591187,45.18656935,41.46883314,41.94463354
Cardiff,eng Premier League,2018/2019,33,409,39.8,1572.67395,51.34467615,50.81677096,49.02209519
Celta,es La Liga,2019/2020,37,358,37.8,1677.510132,38.64966006,38.50932063,38.5173543
Celta,es La Liga,2018/2019,52,438,44.9,1716.932495,46.73755296,46.47688085,47.14224694
Celta,es La Liga,2017/2018,57,445,52,1700.763428,48.16495106,50.61675145,52.34449364
Chelsea,eng Premier League,2019/2020,69,619,66.6,1883.265869,72.06029874,73.04324069,73.13848247
Chelsea,eng Premier League,2018/2019,61,597,58.5,1833.32251,58.84580711,62.19754263,62.42850821
Chelsea,eng Premier League,2017/2018,60,607,55.7,1907.193481,58.27074373,58.79040856,58.65571912
Chievo,it Serie A,2018/2019,25,388,35.9,1556.615112,39.02264931,36.45990851,36.83929377
Chievo,it Serie A,2017/2018,36,396,32.2,1552.386353,37.94465299,35.05892819,34.75927116
Crotone,it Serie A,2017/2018,38,385,36.2,1525.584473,35.17969758,36.62407453,35.79852697
Crystal Palace,eng Premier League,2019/2020,29,372,34,1742.566406,40.18611209,39.24727471,38.02961806
Crystal Palace,eng Premier League,2018/2019,48,489,50.1,1689.066528,52.36174985,52.53823323,51.16773144
Crystal Palace,eng Premier League,2017/2018,44,467,53,1640.714844,54.31019162,55.08709303,53.19424668
Depor,es La Liga,2017/2018,38,466,49.2,1650.289063,53.2095465,50.95626559,49.75159724
Dijon,fr Ligue 1,2019/2020,26,337,28.8,1497.821411,29.90692644,28.70857284,27.84480251
Dijon,fr Ligue 1,2018/2019,29,451,39.6,1549.915405,39.39857053,38.63342696,37.40800222
Dijon,fr Ligue 1,2017/2018,52,455,42.9,1534.467896,38.39710414,37.63931186,38.18495599
Dortmund,de Bundesliga,2019/2020,84,443,59.2,1822.791626,47.44981485,51.87602211,51.8288954
Dortmund,de Bundesliga,2018/2019,80,444,58.3,1738.953735,51.72307318,56.04854724,55.97642153
Dortmund,de Bundesliga,2017/2018,62,472,63.6,1863.906616,55.35152641,59.64318083,60.90596945
Duesseldorf,de Bundesliga,2019/2020,36,424,33,1604.139038,36.68701285,33.73874017,33.21015069
Duesseldorf,de Bundesliga,2018/2019,48,405,46.7,1472.630005,43.15513677,43.72285326,43.54953756
Eibar,es La Liga,2019/2020,38,417,41.3,1709.120605,48.23889675,43.6133253,42.73383743
